time (s),DL Filtering Design 1,DL Filtering Design 2,DL Filtering Design 3,DL Filtering Design 4,DL Filtering Design 5,DL Filtering Design 6,DL Filtering Design 7,ProteinMPNN Design 1
39.6,0.06213166,0.07353174,0.07430863,0.06997165,0.06077691,0.06153671,0.06552674,0.06800055
39.8,0.0595614,0.07971295,0.07602882,0.07026778,0.05592738,0.07088752,0.06154847,0.06167532
40,0.06091617,0.07826103,0.07317563,0.06792837,0.05688585,0.06648911,0.06285164,0.06464601
40.2,0.05795076,0.07364085,0.07613213,0.07141962,0.06236519,0.06273592,0.06304588,0.06812049
40.4,0.05383358,0.0744955,0.07823458,0.07402892,0.05625987,0.07061485,0.06368998,0.06728388
40.6,0.05844299,0.07572199,0.07533334,0.0709804,0.05903,0.07049973,0.06223274,0.06483307
40.8,0.06135787,0.07524752,0.08519013,0.07032562,0.05703675,0.06921093,0.06514513,0.06898557
41,0.05632869,0.07488352,0.08082856,0.06962809,0.05972233,0.06799143,0.06551761,0.06707051
41.2,0.06143755,0.07283353,0.07225718,0.07214723,0.06285304,0.0694553,0.0641442,0.06800535
41.4,0.06236669,0.07303797,0.07556918,0.06897382,0.05852048,0.07073855,0.06760352,0.07252403
41.6,0.06543297,0.07613441,0.07584885,0.07302853,0.05624145,0.0698704,0.06746066,0.06837046
41.8,0.06073763,0.07666075,0.07068904,0.0691942,0.05796332,0.07115824,0.06487054,0.06854101
42,0.05644841,0.07774928,0.07870617,0.06985439,0.05859196,0.06795866,0.06743807,0.07251871
42.2,0.0607474,0.0794227,0.07812021,0.07104713,0.05581181,0.07107202,0.06191452,0.06866008
42.4,0.06002536,0.07303109,0.08231652,0.07143895,0.05673134,0.07156973,0.06445171,0.06751859
42.6,0.06002261,0.08188929,0.07724428,0.07379662,0.06246971,0.07024583,0.06579862,0.06757864
42.8,0.06080225,0.07741854,0.07791771,0.07194196,0.05518286,0.07277262,0.06037115,0.07185695
43,0.05883447,0.08134426,0.0804887,0.07237777,0.0599589,0.0686361,0.06763352,0.06779037
43.2,0.06590354,0.07531391,0.07942794,0.0748216,0.05568796,0.06857852,0.06661452,0.06752243
43.4,0.0573574,0.07927889,0.07706787,0.069599,0.05704148,0.07388081,0.06677451,0.06792258
43.6,0.06215769,0.08077348,0.08059685,0.07147934,0.06056054,0.07051338,0.06166643,0.07061948
43.8,0.05943513,0.07886666,0.07748593,0.07215676,0.06058303,0.07488691,0.06932537,0.06989985
44,0.05882658,0.07218973,0.07522646,0.07371933,0.05940717,0.0715497,0.06741714,0.0724141
44.2,0.06215185,0.07574029,0.07840215,0.07432822,0.06004938,0.07785202,0.0673281,0.07220032
44.4,0.06460202,0.07946534,0.08043336,0.07226072,0.06067536,0.07462589,0.0667866,0.06936495
44.6,0.06228592,0.08101635,0.07848881,0.07466855,0.06281214,0.07189597,0.06724483,0.07033395
44.8,0.06272958,0.08120127,0.07974714,0.07298935,0.0564401,0.07029103,0.06672861,0.06969433
45,0.06269188,0.07730952,0.081268,0.07577975,0.06072032,0.07241894,0.06868187,0.07555956
45.2,0.06217068,0.08069353,0.07880812,0.07306337,0.06308892,0.07381519,0.06719496,0.07043292
45.4,0.06192515,0.07933473,0.08469518,0.07429703,0.05732893,0.07314567,0.06552219,0.07170638
45.6,0.06434747,0.08408233,0.08142389,0.07739972,0.06195115,0.0723013,0.06980684,0.07469963
45.8,0.05779174,0.08306325,0.0810016,0.07701137,0.06208306,0.07332549,0.06980264,0.06962742
46,0.06426325,0.08324336,0.08277421,0.07633809,0.05943682,0.07220238,0.06825878,0.06830961
46.2,0.06624205,0.08128494,0.07815216,0.07831378,0.05611644,0.07101931,0.06971144,0.07138345
46.4,0.06403028,0.08338063,0.07922125,0.07515161,0.05895415,0.0735268,0.07052336,0.07508706
46.6,0.0656317,0.08252779,0.08007631,0.07249419,0.06309259,0.0711289,0.0654446,0.0725841
