DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-000864,5.155020578,7.298108403,COLO684,Endometrial/Uterine Cancer,Uterus
ACH-000726,4.83491343,7.005624549,TE14,Esophageal Cancer,Esophagus
ACH-000136,4.606442228,7.567347696,CHP126,Neuroblastoma,Peripheral Nervous System
ACH-002067,6.480426705,6.702796044,NOS1,Bone Cancer,Bone
ACH-000440,5.861211003,7.701063826,CA46,Lymphoma,Lymphocyte
ACH-001461,3.941106311,5.878480131,C99,Colon/Colorectal Cancer,Colorectal
ACH-000890,6.547665748,8.323730338,SW1271,Lung Cancer,Lung
ACH-001692,2.965322548,5.873074932,UPCISCC040,Head and Neck Cancer,Upper Aerodigestive
ACH-000027,5.118941073,6.185668359,GOS3,Brain Cancer,Central Nervous System
ACH-000562,4.95930649,7.508824769,HCC78,Lung Cancer,Lung
ACH-000748,5.893119476,7.982993575,SJSA1,Bone Cancer,Bone
ACH-000834,4.458119481,7.801934646,UMUC1,Bladder Cancer,Urinary Tract
ACH-000565,4.079804755,6.833016561,RCM1,Colon/Colorectal Cancer,Colorectal
ACH-000449,5.107687869,7.464096434,MESSA,Sarcoma,Soft Tissue
ACH-000399,6.051589621,7.394376945,NCIH2196,Lung Cancer,Lung
ACH-000770,5.272023189,7.837375637,P31FUJ,Leukemia,Blood
ACH-000710,4.499527024,6.911092332,NCIH854,Lung Cancer,Lung
ACH-000507,4.91981677,7.098663782,KE39,Gastric Cancer,Gastric
ACH-000066,5.143230135,7.385344749,HCC4006,Lung Cancer,Lung
ACH-000022,4.934988202,7.495535281,PATU8988S,Pancreatic Cancer,Pancreas
ACH-001668,4.522306893,4.69543711,SUSA,Teratoma,Embryo
ACH-000334,5.748729567,7.936520163,DB,Lymphoma,Lymphocyte
ACH-000374,5.636624621,6.530445355,HCC1143,Breast Cancer,Breast
ACH-000519,6.647602329,8.275472718,PEER,Leukemia,Blood
ACH-000908,4.336997417,7.579089615,SNU520,Gastric Cancer,Gastric
ACH-002003,3.544732656,6.849248703,A375SKINCJ3,Skin Cancer,Skin
ACH-000574,5.867402306,7.128561489,FUOV1,Ovarian Cancer,Ovary
ACH-000148,5.351910961,7.424418266,HS578T,Breast Cancer,Breast
ACH-002461,4.444269502,5.91336816,RVH421SKINFV1,Skin Cancer,Skin
ACH-000646,3.221877081,4.795455272,OVMANA,Ovarian Cancer,Ovary
ACH-000314,5.97475873,7.746178381,HCC2108,Lung Cancer,Lung
ACH-000040,5.910732662,7.832193809,U118MG,Brain Cancer,Central Nervous System
ACH-001057,5.947899886,7.970105891,DERL2,Lymphoma,Lymphocyte
ACH-000430,5.685940148,7.534808661,TYKNU,Ovarian Cancer,Ovary
ACH-001041,5.008988783,6.977737849,COLO699,Lung Cancer,Lung
ACH-000370,5.760220946,6.989933724,SNU626,Brain Cancer,Central Nervous System
ACH-001630,4.059182199,5.336640446,PEO1,Ovarian Cancer,Ovary
ACH-000437,6.222843193,7.281605529,SW1088,Brain Cancer,Central Nervous System
ACH-000498,5.115615931,7.174126737,KO52,Leukemia,Blood
ACH-001392,1.378511623,5.108106224,SUM185PE,Breast Cancer,Breast
ACH-000503,4.767125077,6.358607249,BICR16,Head and Neck Cancer,Upper Aerodigestive
ACH-000328,5.922197848,7.247737673,LN215,Brain Cancer,Central Nervous System
ACH-000403,5.445263208,7.579617646,NCIH747,Colon/Colorectal Cancer,Colorectal
ACH-000400,5.077242999,6.850249358,SKCO1,Colon/Colorectal Cancer,Colorectal
ACH-000224,2.440952198,6.810700154,HS819T,Fibroblast,Fibroblast
ACH-000318,4.112700133,6.14404637,TE10,Esophageal Cancer,Esophagus
ACH-001430,5.114367025,7.003489803,TC138,Bone Cancer,Bone
ACH-000928,5.065227623,7.055390905,JHUEM1,Endometrial/Uterine Cancer,Uterus
ACH-000893,5.959770155,6.613531653,NCIH1651,Lung Cancer,Lung
ACH-000889,6.00337736,8.538150123,KMM1,Myeloma,Plasma Cell
ACH-000799,5.630230716,7.170726276,HS695T,Skin Cancer,Skin
ACH-001623,5.221490455,7.754553506,ONDA8,Brain Cancer,Central Nervous System
ACH-000736,5.379898164,7.400281746,SNU601,Gastric Cancer,Gastric
ACH-000876,3.554588852,7.338246117,MDAMB415,Breast Cancer,Breast
ACH-001232,5.116447936,7.314515271,UW228,Brain Cancer,Central Nervous System
ACH-001618,6.017031081,7.196725061,OCIM2,Leukemia,Blood
ACH-000235,5.80503444,7.632777141,PANC0403,Pancreatic Cancer,Pancreas
ACH-000381,5.246027981,6.900746075,T84,Colon/Colorectal Cancer,Colorectal
ACH-001993,5.046578367,8.00966069,NALM16,Leukemia,Blood
ACH-001301,4.786596362,7.421896512,COGN278,Neuroblastoma,Peripheral Nervous System
ACH-000854,5.234194723,7.655924213,OCIMY5,Myeloma,Plasma Cell
ACH-000187,5.573192724,8.339315572,CORL311,Lung Cancer,Lung
ACH-000543,3.285402219,6.088947205,SNU489,Brain Cancer,Central Nervous System
ACH-000569,5.856487779,7.975332116,ISTMES1,Lung Cancer,Lung
ACH-000668,5.568336182,6.808385051,HCC70,Breast Cancer,Breast
ACH-000134,5.27351589,8.005456131,HS274T,Fibroblast,Fibroblast
ACH-000924,5.852498299,7.440204752,NCIH2172,Lung Cancer,Lung
ACH-001450,4.859969548,7.204082012,BLUE1,Lymphoma,Lymphocyte
ACH-000296,4.960697039,6.728328707,OUMS23,Colon/Colorectal Cancer,Colorectal
ACH-000713,5.850749426,7.170626141,CAOV3,Ovarian Cancer,Ovary
ACH-001360,3.845991771,6.38663853,MS751,Cervical Cancer,Cervix
ACH-000273,5.15704371,6.827692021,SF539,Brain Cancer,Central Nervous System
ACH-001715,6.126394738,7.556046158,CAL72,Bone Cancer,Bone
ACH-001617,6.26190686,7.825149603,OCILY7,Lymphoma,Lymphocyte
ACH-000639,6.087462841,6.987320866,NCIH211,Lung Cancer,Lung
ACH-000590,5.129283017,6.486392594,NCIH2073,Lung Cancer,Lung
ACH-000553,6.011227255,7.176721693,SQ1,Lung Cancer,Lung
ACH-000084,4.607034346,6.813524689,MUTZ3,Leukemia,Blood
ACH-000094,4.931683057,7.386552314,HPAFII,Pancreatic Cancer,Pancreas
ACH-000361,5.552438555,7.637711669,SKHEP1,Liver Cancer,Liver
ACH-000719,4.765004246,6.100136671,RMGI,Ovarian Cancer,Ovary
ACH-001396,2.087462841,7.844737144,SUM52PE,Breast Cancer,Breast
ACH-001848,4.055716264,5.502394256,ICC8,Bile Duct Cancer,Bile Duct
ACH-000339,6.532628658,8.31600994,HCC461,Lung Cancer,Lung
ACH-000218,5.198886991,6.847495884,PL21,Leukemia,Blood
ACH-000789,5.946262984,7.266692856,NCIH810,Lung Cancer,Lung
ACH-000413,3.642701572,6.974185117,HS739T,Fibroblast,Fibroblast
ACH-000125,5.553360503,7.311884519,TO175T,Fibroblast,Fibroblast
ACH-000180,5.146492307,7.645298164,HS839T,Fibroblast,Fibroblast
ACH-000215,5.464014725,7.511594542,LN382,Brain Cancer,Central Nervous System
ACH-001001,5.148120631,7.612573664,143B,Bone Cancer,Bone
ACH-000407,4.486714373,6.580597764,SNU685,Endometrial/Uterine Cancer,Uterus
ACH-002027,1.622930351,5.46008724,HOUAI,Endometrial/Uterine Cancer,Uterus
ACH-001132,6.368069877,6.980139578,MTA,Lymphoma,Lymphocyte
ACH-001278,5.028569152,6.835039799,BIN67,Ovarian Cancer,Ovary
ACH-000032,6.497293009,8.883926233,MHHCALL3,Leukemia,Blood
ACH-001419,3.926948248,5.629939409,VP229,Breast Cancer,Breast
ACH-000494,5.542567608,7.523640361,OELE,Engineered,Engineered Ovary
ACH-000865,5.271649772,7.158559199,KYSE450,Esophageal Cancer,Esophagus
ACH-000439,4.390942773,6.648896806,ME1,Leukemia,Blood
ACH-001523,2.596935142,6.386810946,HSC1,Skin Cancer,Skin
ACH-000024,5.74281467,6.786727035,OPM2,Myeloma,Plasma Cell
ACH-000674,4.139142019,6.665051614,NUGC4,Gastric Cancer,Gastric
ACH-000670,5.557042415,7.59812696,SBC5,Lung Cancer,Lung
ACH-000599,5.693765712,7.894454013,PATU8902,Pancreatic Cancer,Pancreas
ACH-000263,5.408711861,7.493615314,KASUMI1,Leukemia,Blood
ACH-000303,4.600507645,7.469316208,SNU5,Gastric Cancer,Gastric
ACH-001551,5.369117459,7.75788999,MCC142,Skin Cancer,Skin
ACH-000793,4.940636607,7.437377568,KATOIII,Gastric Cancer,Gastric
ACH-002511,5.048759312,7.140369671,M140325,Skin Cancer,Skin
ACH-000286,5.13093087,6.910372903,SNU1033,Colon/Colorectal Cancer,Colorectal
ACH-000250,5.565597176,7.239264368,KMRC20,Kidney Cancer,Kidney
ACH-000299,5.522306893,7.477758266,HNT34,Leukemia,Blood
ACH-000139,4.988230223,6.998985248,PANC0327,Pancreatic Cancer,Pancreas
ACH-001735,4.417515003,7.744497506,SEMK2,Leukemia,Blood
ACH-001389,5.875534352,6.543805176,SUM1315MO2,Breast Cancer,Breast
ACH-001183,5.442943496,7.389394724,RT11284,Bladder Cancer,Urinary Tract
ACH-000551,5.870857864,7.327777171,K562,Leukemia,Blood
ACH-000037,5.593652558,7.691743519,S117,Sarcoma,Soft Tissue
ACH-000744,4.907852072,6.536519213,NCIH1623,Lung Cancer,Lung
ACH-000420,4.876271361,7.164906927,SNU449,Liver Cancer,Liver
ACH-000336,4.136683578,6.794285888,OCIAML3,Leukemia,Blood
ACH-000486,5.341985747,7.019924261,KU1919,Bladder Cancer,Urinary Tract
ACH-000679,4.376429311,6.310340121,OE19,Esophageal Cancer,Esophagus
ACH-001557,5.152994605,6.831243897,MERO41,Lung Cancer,Lung
ACH-000247,4.566815154,7.475084883,OCUM1,Gastric Cancer,Gastric
ACH-000947,5.099715999,8.263316155,OVK18,Ovarian Cancer,Ovary
ACH-000807,6.182295025,7.008540672,SNU738,Brain Cancer,Central Nervous System
ACH-000476,5.245267467,7.381888983,JHH4,Liver Cancer,Liver
ACH-000525,6,7.472244052,NCIH2171,Lung Cancer,Lung
ACH-001148,5.217618485,7.255783957,OCILY132,Lymphoma,Lymphocyte
ACH-000853,6.647890091,6.884231584,NCIH661,Lung Cancer,Lung
ACH-000083,4.650190123,7.531537419,HS281T,Fibroblast,Fibroblast
ACH-000479,5.854494418,6.639666296,KNS81,Brain Cancer,Central Nervous System
ACH-000230,1.782408565,6.393519168,HS742T,Fibroblast,Fibroblast
ACH-001664,5.582254908,7.519321735,SNU638,Gastric Cancer,Gastric
ACH-000955,4.936873462,7.576975554,SNU407,Colon/Colorectal Cancer,Colorectal
ACH-000049,5.428946345,7.652988339,HEKTE,Engineered,Engineered Kidney
ACH-000675,5.553053253,7.307610672,NCIH1734,Lung Cancer,Lung
ACH-000199,2.114367025,6.064149939,HS255T,Fibroblast,Fibroblast
ACH-000193,5.698218478,6.908092341,KARPAS620,Myeloma,Plasma Cell
ACH-000538,5.396433531,7.39386234,HUTU80,Gastric Cancer,Gastric
ACH-000010,5.825785627,8.257717833,NCIH2077,Lung Cancer,Lung
ACH-001647,4.386121157,7.537994878,SHI1,Leukemia,Blood
ACH-001649,2.937344392,6.072963272,SHMAC5,Prostate Cancer,Prostate
ACH-000155,5.419201774,7.500324049,SW1990,Pancreatic Cancer,Pancreas
ACH-000270,4.470536865,6.737957106,HPAC,Pancreatic Cancer,Pancreas
ACH-000683,4.375039431,7.200359179,SNU503,Colon/Colorectal Cancer,Colorectal
ACH-002017,5.663629259,6.368942914,OMM1,Eye Cancer,Eye
ACH-000655,5.821710215,7.742612598,SF268,Brain Cancer,Central Nervous System
ACH-000145,5.549977143,8.648501395,SKLMS1,Sarcoma,Soft Tissue
ACH-001495,4.917431755,6.754219433,EMTOKA,Endometrial/Uterine Cancer,Uterus
ACH-000188,4.62935662,6.56924803,SCC25,Head and Neck Cancer,Upper Aerodigestive
ACH-000080,6.284106911,8.175774077,BDCM,Leukemia,Blood
ACH-000146,5.924812504,6.835039799,THP1,Leukemia,Blood
ACH-000415,4.115199749,5.62497818,BICR6,Head and Neck Cancer,Upper Aerodigestive
ACH-001518,5.043081982,6.534653056,HEC116,Endometrial/Uterine Cancer,Uterus
ACH-000891,5.832383717,7.592606532,HCC1438,Lung Cancer,Lung
ACH-001625,4.158660175,7.125258473,OSC19,Head and Neck Cancer,Upper Aerodigestive
ACH-000895,4.894817763,7.667537367,CL34,Colon/Colorectal Cancer,Colorectal
ACH-000851,4.658211483,7.460414939,MORCPR,Lung Cancer,Lung
ACH-000824,5.551208374,7.336283388,KYSE510,Esophageal Cancer,Esophagus
ACH-000506,6.175724185,8.263316155,NCIH146,Lung Cancer,Lung
ACH-000540,3.768713657,6.990160706,HS606T,Fibroblast,Fibroblast
ACH-000061,5.657068301,7.582254908,HH,Lymphoma,Lymphocyte
ACH-000185,2.629939409,6.642123916,HS737T,Fibroblast,Fibroblast
ACH-000568,3.956056652,6.760487102,UACC812,Breast Cancer,Breast
ACH-000707,6.215096121,8.105018005,P3HR1,Lymphoma,Lymphocyte
ACH-000603,4.622344723,6.061992154,BEN,Lung Cancer,Lung
ACH-000983,5.737686761,7.76427449,KCL22,Leukemia,Blood
ACH-000541,6.725332171,7.679057785,KMS34,Myeloma,Plasma Cell
ACH-000680,5.537917249,6.453023647,SW948,Colon/Colorectal Cancer,Colorectal
ACH-002460,4.115199749,6.329841177,HT144SKINFV2,Skin Cancer,Skin
ACH-000111,5.126807703,6.704595348,HCC1187,Breast Cancer,Breast
ACH-002463,3.552131108,7.394719913,RPE1SS77,Engineered,Engineered
ACH-000369,6.0725346,7.789468437,MOLM16,Leukemia,Blood
ACH-000618,4.764473551,6.980939266,SNU1041,Head and Neck Cancer,Upper Aerodigestive
ACH-000470,5.161081482,7.295355693,SW1463,Colon/Colorectal Cancer,Colorectal
ACH-002039,5.82374936,7.059614856,PK8,Pancreatic Cancer,Pancreas
ACH-000118,5.415488271,6.754486698,HUPT3,Pancreatic Cancer,Pancreas
ACH-000614,4.614120869,6.161081482,RVH421,Skin Cancer,Skin
ACH-001078,3.301587647,6.64255718,HCC1588,Lung Cancer,Lung
ACH-000432,6.078737909,8.658568541,BV173,Leukemia,Blood
ACH-000556,4.848497755,7.403012024,SIHA,Cervical Cancer,Cervix
ACH-001804,3.9202933,6.791423397,LPS510,Liposarcoma,Soft Tissue
ACH-001386,5.765534746,7.197609878,SCLC22H,Lung Cancer,Lung
ACH-001060,6.636769608,7.701687664,DL40,Lymphoma,Lymphocyte
ACH-001525,3.866907978,5.498250868,HT3,Cervical Cancer,Cervix
ACH-001539,3.689299161,6.537917249,KML1,Lymphoma,Lymphocyte
ACH-000014,4.576522138,6.724240977,HS294T,Skin Cancer,Skin
ACH-000637,5.320123598,6.930973826,KYSE520,Esophageal Cancer,Esophagus
ACH-000455,4.654206378,6.704457019,LN428,Brain Cancer,Central Nervous System
ACH-000389,5.456806149,7.434878384,H4,Brain Cancer,Central Nervous System
ACH-000129,5.747924416,8.116187986,NCIH1341,Lung Cancer,Lung
ACH-000490,5.019701914,7.285587168,SF767,Brain Cancer,Central Nervous System
ACH-000434,5.8899602,7.67990229,NCIH1915,Lung Cancer,Lung
ACH-001086,4.920769673,8.32422556,HELA,Cervical Cancer,Cervix
ACH-002042,4.329123596,7.034633917,T3M5,Thyroid Cancer,Thyroid
ACH-000597,5.539779192,7.060371694,TTC709,Rhabdoid,Soft Tissue
ACH-000756,5.135863165,7.464178138,GI1,Brain Cancer,Central Nervous System
ACH-000396,5.600804955,7.735657559,J82,Bladder Cancer,Urinary Tract
ACH-000089,5.266786541,7.351822645,NCIH684,Colon/Colorectal Cancer,Colorectal
ACH-000371,5.858229714,8.14067642,RL,Lymphoma,Lymphocyte
ACH-000265,6.274075255,7.608513578,KP4,Pancreatic Cancer,Pancreas
ACH-000132,4.321928095,6.548282482,JHOS2,Ovarian Cancer,Ovary
ACH-000216,5.87036472,7.787510824,JHESOAD1,Esophageal Cancer,Esophagus
ACH-000613,5.7977912,8.016919688,HOS,Bone Cancer,Bone
ACH-000855,4.287620044,7.46458659,KYSE150,Esophageal Cancer,Esophagus
ACH-000906,5.410069692,8.19175016,ES2,Ovarian Cancer,Ovary
ACH-000348,5.083638879,6.958842675,RPMI7951,Skin Cancer,Skin
ACH-001100,3.735522177,5.340562269,KHYG,Lymphoma,Lymphocyte
ACH-000238,5.332707934,6.874674032,SCC4,Head and Neck Cancer,Upper Aerodigestive
ACH-000237,4.377123749,6.692510892,JHOM1,Ovarian Cancer,Ovary
ACH-000393,5.821710215,7.633576519,HLF,Liver Cancer,Liver
ACH-000623,4.922197848,6.878480131,SNU201,Brain Cancer,Central Nervous System
ACH-000359,5.375387027,7.80928581,MG63,Bone Cancer,Bone
ACH-001028,3.642701572,5.801158656,CHLA06ATRT,Rhabdoid,Soft Tissue
ACH-000621,5.596637034,7.477110628,MDAMB157,Breast Cancer,Breast
ACH-000056,5.471512648,7.680535344,DOHH2,Lymphoma,Lymphocyte
ACH-000483,5.567423758,7.372255648,SNU182,Liver Cancer,Liver
ACH-000514,5.739037979,8.197413299,NCIH1092,Lung Cancer,Lung
ACH-000051,5.554895775,7.073391816,TE617T,Sarcoma,Soft Tissue
ACH-000043,3.9202933,7.66831772,HS895T,Fibroblast,Fibroblast
ACH-000936,5.977050906,6.979225105,EFO27,Ovarian Cancer,Ovary
ACH-000716,5.530133184,8.167367964,TT2609C02,Thyroid Cancer,Thyroid
ACH-000988,5.497612366,7.10234319,MFE319,Endometrial/Uterine Cancer,Uterus
ACH-000952,4.445594291,7.1017131,MDAPCA2B,Prostate Cancer,Prostate
ACH-000065,5.413458688,7.300489844,OCIAML5,Leukemia,Blood
ACH-000609,5.851998837,8.234434258,SF126,Brain Cancer,Central Nervous System
ACH-001411,5.261530815,6.948717641,UMUC5,Bladder Cancer,Urinary Tract
ACH-000504,5.592158002,7.625635793,SNB75,Brain Cancer,Central Nervous System
ACH-000956,5.358958826,7.325530332,22RV1,Prostate Cancer,Prostate
ACH-001712,2.344828497,6.259084133,HS860T,Bone Cancer,Bone
ACH-000652,5.6114675,7.396690399,SUIT2,Pancreatic Cancer,Pancreas
ACH-000414,4.864928972,6.992315252,NCIH1944,Lung Cancer,Lung
ACH-000472,4.337711092,6.648753033,HSC2,Head and Neck Cancer,Upper Aerodigestive
ACH-000007,4.736604875,7.383185866,LS513,Colon/Colorectal Cancer,Colorectal
ACH-000446,5.297191417,6.523248293,KPNSI9S,Neuroblastoma,Peripheral Nervous System
ACH-000386,5.976363636,7.590811576,KG1,Leukemia,Blood
ACH-001850,5.590961241,8.811117763,G415,Gallbladder Cancer,Bile Duct
ACH-000755,3.663344619,7.393261735,HCC2218,Breast Cancer,Breast
ACH-000028,5.276124405,7.510645504,KPL1,Breast Cancer,Breast
ACH-000665,4.576522138,7.206135253,SKMES1,Lung Cancer,Lung
ACH-000078,5.291677223,7.597158683,MHHNB11,Neuroblastoma,Peripheral Nervous System
ACH-002046,5.879460723,7.640244936,HTMMT,Endometrial/Uterine Cancer,Uterus
ACH-000397,5.560103513,7.419707421,TEN,Endometrial/Uterine Cancer,Uterus
ACH-000229,2.114367025,6.433126376,HS822T,Fibroblast,Fibroblast
ACH-000518,4.568032105,6.85237345,CAL33,Head and Neck Cancer,Upper Aerodigestive
ACH-001566,4.341985747,5.610877199,MM370,Skin Cancer,Skin
ACH-000252,4.361066489,7.351469324,LS1034,Colon/Colorectal Cancer,Colorectal
ACH-000572,5.747118816,6.528102429,G361,Skin Cancer,Skin
ACH-001605,4.448240225,6.753551055,NO10,Brain Cancer,Central Nervous System
ACH-000277,4.608809243,7.519636253,HCC1419,Breast Cancer,Breast
ACH-001239,5.756756451,6.914684105,WM2664,Skin Cancer,Skin
ACH-000786,5.734438666,7.626366124,DAUDI,Lymphoma,Lymphocyte
ACH-000803,5.832890014,7.369379235,COLO668,Lung Cancer,Lung
ACH-001970,3.119356177,5.512858954,MM253,Skin Cancer,Skin
ACH-002038,5.325170512,6.545505101,HSKTC,Ovarian Cancer,Ovary
ACH-000537,4.117695043,6.74402651,SNU761,Liver Cancer,Liver
ACH-000419,5.202417722,7.567956075,KMS28BM,Myeloma,Plasma Cell
ACH-000724,5.375387027,7.280956314,HT1376,Bladder Cancer,Urinary Tract
ACH-000522,6.400196342,8.091699834,UMUC3,Bladder Cancer,Urinary Tract
ACH-001549,5.525442506,8.17876443,LU135,Lung Cancer,Lung
ACH-000706,4.961160258,6.956521363,EKVX,Lung Cancer,Lung
ACH-000737,4.079804755,6.424754167,NCIH1385,Lung Cancer,Lung
ACH-000548,4.509695842,6.985272714,BHY,Head and Neck Cancer,Upper Aerodigestive
ACH-001839,4.3950628,6.390942773,ICC137,Bile Duct Cancer,Bile Duct
ACH-001799,5.17951105,6.587665021,LPS141,Liposarcoma,Soft Tissue
ACH-001573,2.570462931,5.111865964,MOLM1,Leukemia,Blood
ACH-000425,5.386121157,6.289465631,UACC62,Skin Cancer,Skin
ACH-000375,5.904484098,6.819923596,G402,Kidney Cancer,Soft Tissue
ACH-000753,6.523718762,8.141443009,JMSU1,Bladder Cancer,Urinary Tract
ACH-000275,3.922197848,7.449891473,HS834T,Fibroblast,Fibroblast
ACH-000735,5.625270489,7.021368678,PECAPJ49,Head and Neck Cancer,Upper Aerodigestive
ACH-000654,6.403608584,7.899900664,RAJI,Lymphoma,Lymphocyte
ACH-001067,5.023698917,6.919340082,F5,Brain Cancer,Central Nervous System
ACH-000170,4.723012396,7.455491621,PRECLH,Engineered,Engineered Prostate
ACH-001394,4.66106548,6.080018029,SUM229PE,Breast Cancer,Breast
ACH-000404,5.12763328,6.473624583,K029AX,Skin Cancer,Skin
ACH-000882,5.672708196,6.438292852,IGR1,Skin Cancer,Skin
ACH-001509,3.037382222,5.465648026,H357,Head and Neck Cancer,Upper Aerodigestive
ACH-000210,4.28169825,6.911811402,CADOES1,Bone Cancer,Bone
ACH-000254,4.417515003,6.208088008,SCC15,Head and Neck Cancer,Upper Aerodigestive
ACH-000604,4.834407842,7.269874722,KYO1,Leukemia,Blood
ACH-000090,5.510012465,7.194362891,PC3,Prostate Cancer,Prostate
ACH-000195,5.883132016,7.485909792,SET2,Leukemia,Blood
ACH-001791,2.435628594,4.426264755,LPS6,Liposarcoma,Soft Tissue
ACH-001650,5.373996142,7.143944366,SISO,Cervical Cancer,Cervix
ACH-000605,5.439290681,6.500324049,TE6,Esophageal Cancer,Esophagus
ACH-000458,4.559491813,7.62556274,CJM,Skin Cancer,Skin
ACH-000004,6.212569339,7.365447589,HEL,Leukemia,Blood
ACH-000251,5.283921772,7.780375722,NCIH2887,Lung Cancer,Lung
ACH-000241,4.40053793,6.717676423,JK1,Leukemia,Blood
ACH-001194,5.506525779,7.262846543,SKRC31,Kidney Cancer,Kidney
ACH-001443,5.939461678,8.36207532,ASH3,Thyroid Cancer,Thyroid
ACH-000688,5.595145568,7.387414242,OV7,Ovarian Cancer,Ovary
ACH-000405,5.697940583,8.14363831,MEC1,Leukemia,Blood
ACH-000821,6.371210343,6.921721947,EJM,Myeloma,Plasma Cell
ACH-001677,5.891662208,7.957682486,U2904,Lymphoma,Lymphocyte
ACH-001627,4.537296067,5.966707314,P4E6,Prostate Cancer,Prostate
ACH-000951,5.342341397,7.05017516,NCIH2342,Lung Cancer,Lung
ACH-001036,4.699884729,7.013350592,CMK115,Leukemia,Blood
ACH-000547,5.085339669,7.127530108,HT1197,Bladder Cancer,Urinary Tract
ACH-000826,5.411426246,7.350585645,CAL12T,Lung Cancer,Lung
ACH-001147,4.718087584,5.62029315,OCILY12,Lymphoma,Lymphocyte
ACH-000162,5.842727469,8.337220478,GA10,Lymphoma,Lymphocyte
ACH-001751,4.7382274,7.069637728,RH36,Sarcoma,Soft Tissue
ACH-000018,5.882153917,8.25143507,T24,Bladder Cancer,Urinary Tract
ACH-000721,5.516645558,7.056366761,HMC18,Breast Cancer,Breast
ACH-000003,4.95373085,7.471024839,CACO2,Colon/Colorectal Cancer,Colorectal
ACH-000092,5.433293326,7.942749071,NCIH2452,Lung Cancer,Lung
ACH-000669,6.488000771,7.911751493,SW900,Lung Cancer,Lung
ACH-001099,4.920769673,6.98208091,KD,Rhabdoid,Soft Tissue
ACH-000648,5.474111514,7.589089313,NCIH28,Lung Cancer,Lung
ACH-000950,5.361417467,7.001126665,LOVO,Colon/Colorectal Cancer,Colorectal
ACH-000050,5.616769366,7.11997861,NCIH929,Myeloma,Plasma Cell
ACH-001106,5.73470962,8.181450458,KOPN8,Leukemia,Blood
ACH-000367,5.724650272,7.651051691,NCIH226,Lung Cancer,Lung
ACH-000589,5.385431037,7.648753033,NCIH1437,Lung Cancer,Lung
ACH-000564,5.284292026,6.287250643,KHM1B,Myeloma,Plasma Cell
ACH-001522,4.080657663,6.266411766,HMY1,Skin Cancer,Skin
ACH-000831,5.944624223,7.762083004,HEC50B,Endometrial/Uterine Cancer,Uterus
ACH-000424,5.912410354,8.107897062,TC71,Bone Cancer,Bone
ACH-000409,5.733896605,8.263081368,OVSAHO,Ovarian Cancer,Ovary
ACH-000616,6.353852559,8.527555199,HS746T,Gastric Cancer,Gastric
ACH-000628,4.971773447,7.257010618,NCIH596,Lung Cancer,Lung
ACH-000512,6.15704371,7.906349484,INA6,Myeloma,Plasma Cell
ACH-000232,4.816087659,7.01658546,U251MG,Brain Cancer,Central Nervous System
ACH-000820,5.000901403,7.121533517,SW403,Colon/Colorectal Cancer,Colorectal
ACH-001295,4.867896464,7.388103414,Y79,Eye Cancer,Eye
ACH-001164,3.15704371,5.888743249,CCLFPEDS0003T,Sarcoma,Soft Tissue
ACH-000806,5.602290585,7.01234519,L540,Lymphoma,Lymphocyte
ACH-000645,5.083213368,7.421559945,JL1,Lung Cancer,Lung
ACH-000099,4.672990994,7.805937293,SIMA,Neuroblastoma,Peripheral Nervous System
ACH-000902,3.944858446,7.19061486,CAL148,Breast Cancer,Breast
ACH-000649,6.610581958,7.76513689,786O,Kidney Cancer,Kidney
ACH-000086,5.158256229,6.959770155,ACCMESO1,Lung Cancer,Lung
ACH-000149,5.301587647,7.644649454,SKNSH,Neuroblastoma,Peripheral Nervous System
ACH-000142,5.430619811,7.000901403,CAL29,Bladder Cancer,Urinary Tract
ACH-000227,5.066519781,7.493375138,KPNYN,Neuroblastoma,Peripheral Nervous System
ACH-000697,4.266786541,6.37521324,A3KAW,Lymphoma,Lymphocyte
ACH-000942,6.240886714,8.156790974,HPBALL,Leukemia,Blood
ACH-000264,5.968321196,7.117591158,CALU6,Lung Cancer,Lung
ACH-000809,5.50589093,6.705977902,KYSE410,Esophageal Cancer,Esophagus
