DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-001145,6.257010618,7.363609147,OC316,Ovarian Cancer,Ovary
ACH-000717,4.769242795,6.796493929,COLO680N,Esophageal Cancer,Esophagus
ACH-000738,6.371558863,7.377644358,GB1,Brain Cancer,Central Nervous System
ACH-001843,2.885574364,6.200064862,ICC3,Bile Duct Cancer,Bile Duct
ACH-000780,6.032321287,7.78404587,NCIH1105,Lung Cancer,Lung
ACH-001548,5.334496768,8.359793477,LS,Neuroblastoma,Peripheral Nervous System
ACH-000759,4.549669171,7.465239874,MDAMB175VII,Breast Cancer,Breast
ACH-001555,1.782408565,6.986297154,MERO14,Lung Cancer,Lung
ACH-001369,3.326249701,5.702103407,OCIC5X,Ovarian Cancer,Ovary
ACH-000969,4.773996325,7.091065078,KM12,Colon/Colorectal Cancer,Colorectal
ACH-000873,4.340562269,6.757156626,KYSE270,Esophageal Cancer,Esophagus
ACH-001275,5.762083004,7.388447876,SYO1,Sarcoma,Soft Tissue
ACH-000921,5.441948191,7.274168461,NCIH1339,Lung Cancer,Lung
ACH-001373,4.937815169,6.713970692,OV17R,Ovarian Cancer,Ovary
ACH-001022,5.484460413,7.361505198,CBAGPN,Bone Cancer,Bone
ACH-000082,6.478162893,7.725945606,G292CLONEA141B1,Bone Cancer,Bone
ACH-000488,4.675815931,7.233236185,TE11,Esophageal Cancer,Esophagus
ACH-000790,5.501439145,8.047723774,SHP77,Lung Cancer,Lung
ACH-000172,4.493775408,7.049848549,TM87,Rhabdoid,Soft Tissue
ACH-000647,6.13524755,7.224966365,TE1,Esophageal Cancer,Esophagus
ACH-000602,5.809928866,7.215290306,M07E,Leukemia,Blood
ACH-000156,6.131959823,8.269781238,MHHCALL4,Leukemia,Blood
ACH-002001,3.98550043,6.910732662,A375SKINCJ1,Skin Cancer,Skin
ACH-000315,5.067380578,7.623515741,KARPAS422,Lymphoma,Lymphocyte
ACH-002446,4.305240966,5.77478706,CCLFUPGI0005T,Gastric Cancer,Gastric
ACH-000201,5.627606838,7.396176618,A204,Rhabdoid,Soft Tissue
ACH-000435,4.814037648,6.314152694,EFE184,Endometrial/Uterine Cancer,Uterus
ACH-000965,5.105175192,7.273142859,RL952,Endometrial/Uterine Cancer,Uterus
ACH-001550,5.181102551,7.948834426,MCC13,Skin Cancer,Skin
ACH-002026,3.606442228,6.547203025,HHUA,Endometrial/Uterine Cancer,Uterus
ACH-000883,5.01658546,7.615004242,SW1783,Brain Cancer,Central Nervous System
ACH-000482,4.621172753,7.056041549,RERFLCKJ,Lung Cancer,Lung
ACH-000450,5.369466484,6.663486946,MELHO,Skin Cancer,Skin
ACH-000835,5.704595348,8.249777153,GCT,Sarcoma,Soft Tissue
ACH-001802,4.673556424,6.389910925,LPS853,Liposarcoma,Soft Tissue
ACH-000629,5.988230223,8.855522589,IOMMLEE,Brain Cancer,Central Nervous System
ACH-000715,5.150965784,7.166213306,SNU1214,Head and Neck Cancer,Upper Aerodigestive
ACH-000870,6.626147064,9.093892882,NCIH1930,Lung Cancer,Lung
ACH-000874,4.04176865,7.264724074,RS411,Leukemia,Blood
ACH-000910,4.944389962,8.524306634,MDAMB453,Breast Cancer,Breast
ACH-000779,5.060479781,6.913607512,PC9,Lung Cancer,Lung
ACH-000140,5.839959587,7.799799668,PFEIFFER,Lymphoma,Lymphocyte
ACH-001096,5.255500733,7.730707878,JR,Sarcoma,Soft Tissue
ACH-001484,5.06307145,6.823621998,CI,Leukemia,Blood
ACH-000693,5.583158004,7.500483401,KYSE180,Esophageal Cancer,Esophagus
ACH-000811,4.464014725,7.684327846,SKOV3,Ovarian Cancer,Ovary
ACH-000101,6.074034394,8.268050687,KE37,Leukemia,Blood
ACH-000423,5.439955517,6.380071387,SKMEL3,Skin Cancer,Skin
ACH-000290,6.515699838,8.461765911,NCIH209,Lung Cancer,Lung
ACH-000492,5.345183447,7.565825625,MUTZ5,Leukemia,Blood
ACH-001519,2.82374936,6.077670274,HEMCSS,Bone Cancer,Bone
ACH-000110,3.721372659,5.842727469,NCCSTCK140,Gastric Cancer,Gastric
ACH-001497,4.057450272,6.346602375,ESO51,Esophageal Cancer,Esophagus
ACH-000102,6.207697669,7.680254021,GMS10,Brain Cancer,Central Nervous System
ACH-000817,6.556429415,7.059398544,RPMI8226,Myeloma,Plasma Cell
ACH-001556,4.578938713,7.573798644,MERO25,Lung Cancer,Lung
ACH-000964,5.503984704,7.58082385,MOLT3,Leukemia,Blood
ACH-000378,5.649040566,7.516409186,NCIH647,Lung Cancer,Lung
ACH-000913,6.06436554,7.77016832,ESS1,Endometrial/Uterine Cancer,Uterus
ACH-000575,6.344650989,7.282069075,HCC364,Lung Cancer,Lung
ACH-000634,5.506208389,7.845050903,LN340,Brain Cancer,Central Nervous System
ACH-001322,5.055716264,7.05853297,CME1,Sarcoma,Soft Tissue
ACH-000767,5.978882028,9.188465216,NCIH526,Lung Cancer,Lung
ACH-001642,3.056583528,5.137913322,SCC3,Lymphoma,Lymphocyte
ACH-001552,5.913846824,7.093074182,MCC26,Skin Cancer,Skin
ACH-000451,5.68116812,7.069100632,NCIH2085,Lung Cancer,Lung
ACH-000879,6.125155131,7.713214653,MFE296,Endometrial/Uterine Cancer,Uterus
ACH-001842,4.296457407,5.753016129,ICC2,Bile Duct Cancer,Bile Duct
ACH-001032,4.421559945,6.242030802,CHLA32,Bone Cancer,Bone
ACH-000982,5.496654083,7.61117238,GP2D,Colon/Colorectal Cancer,Colorectal
ACH-001636,5.271649772,7.011003564,RAMOS,Lymphoma,Lymphocyte
ACH-000189,4.176322773,6.749802402,RCC10RGB,Kidney Cancer,Kidney
ACH-000454,5.822730148,7.398829182,HCC95,Lung Cancer,Lung
ACH-000131,5.696828465,8.448033686,HS229T,Fibroblast,Fibroblast
ACH-000660,6.222263604,7.923030298,SUDHL5,Lymphoma,Lymphocyte
ACH-001197,5.964167561,6.855740592,SMZ1,Lymphoma,Lymphocyte
ACH-000915,5.54225805,7.746648675,IPC298,Skin Cancer,Skin
ACH-000480,5.564378169,6.840840853,HUH7,Liver Cancer,Liver
ACH-000745,5.441948191,6.271089466,MOLP8,Myeloma,Plasma Cell
ACH-000161,5.09212285,6.989252565,CORL105,Lung Cancer,Lung
ACH-000395,5.969933275,7.964398632,NCIH520,Lung Cancer,Lung
ACH-001459,4.772941338,6.383358695,C80,Colon/Colorectal Cancer,Colorectal
ACH-000916,5.333065878,7.396776011,NCIH1573,Lung Cancer,Lung
ACH-001609,3.67468662,7.214416269,NP3,Brain Cancer,Central Nervous System
ACH-001960,4.830356747,6.679339342,CCSW1,Bile Duct Cancer,Bile Duct
ACH-001856,4.760220946,7.070925945,RBE,Bile Duct Cancer,Bile Duct
ACH-000295,4.980482356,7.60659028,EM2,Leukemia,Blood
ACH-001485,4.238022518,6.699884729,CII,Leukemia,Blood
ACH-000292,6.055282436,7.712870868,NCIH841,Lung Cancer,Lung
ACH-000137,4.447579197,7.510408147,8MGBA,Brain Cancer,Central Nervous System
ACH-000308,4.973611276,6.398658196,EFO21,Ovarian Cancer,Ovary
ACH-000445,5.545968369,8.04072808,KNS60,Brain Cancer,Central Nervous System
ACH-001229,3.89917563,6.099926351,UPCISCC154,Head and Neck Cancer,Upper Aerodigestive
ACH-000144,5.621172753,7.499128346,RERFGC1B,Gastric Cancer,Gastric
ACH-000837,5.723558561,7.652343079,NCIH322,Lung Cancer,Lung
ACH-000048,6.140369671,7.511041012,TOV112D,Ovarian Cancer,Ovary
ACH-000463,5.840714991,7.846994687,NCIH460,Lung Cancer,Lung
ACH-000881,5.081936082,7.579768477,MELJUSO,Skin Cancer,Skin
ACH-000388,3.925999419,6.840085516,NUDHL1,Lymphoma,Lymphocyte
ACH-000147,4.375039431,7.262940477,T47D,Breast Cancer,Breast
ACH-000930,5.622637567,7.584962501,HCC1569,Breast Cancer,Breast
ACH-000899,5.492814573,7.023920649,WM88,Skin Cancer,Skin
ACH-000366,5.457134594,8.827946017,SKNDZ,Neuroblastoma,Peripheral Nervous System
ACH-001526,5.102658131,6.220716892,HUO9,Bone Cancer,Bone
ACH-000064,4.313971371,7.133193599,SALE,Engineered,Engineered Lung
ACH-001329,5.068670811,6.066950244,ANGMCSS,Brain Cancer,Central Nervous System
ACH-000418,5.419201774,7.336818943,SW1353,Bone Cancer,Bone
ACH-001280,4.858975614,6.454011343,SCS214,Sarcoma,Soft Tissue
ACH-000861,6.012568674,7.600433308,HOP62,Lung Cancer,Lung
ACH-000692,4.971313624,6.884964165,SNU899,Head and Neck Cancer,Upper Aerodigestive
ACH-000107,5.590063019,7.842790314,CAPAN2,Pancreatic Cancer,Pancreas
ACH-000133,4.948133578,8.048486874,HS729,Fibroblast,Fibroblast
ACH-000306,3.203201156,6.615151418,HS688AT,Fibroblast,Fibroblast
ACH-001530,5.050936965,7.113742166,JEG3,Endometrial/Uterine Cancer,Uterus
ACH-000651,5.375734539,7.924634382,SW620,Colon/Colorectal Cancer,Colorectal
ACH-000563,5.85847839,7.454504938,EBC1,Lung Cancer,Lung
ACH-000058,4.699884729,7.257010618,ML1,Thyroid Cancer,Thyroid
ACH-000345,5.216454865,7.571297583,KPNRTBM1,Neuroblastoma,Peripheral Nervous System
ACH-000316,5.904965719,7.403182494,SNU886,Liver Cancer,Liver
ACH-000884,5.783194703,7.472893878,MDAMB435S,Skin Cancer,Skin
ACH-000289,4.214124805,6.397460726,SNU466,Brain Cancer,Central Nervous System
ACH-001451,4.458775699,5.951168129,BOKU,Cervical Cancer,Cervix
ACH-000355,5.922197848,7.241077458,NCIH82,Lung Cancer,Lung
ACH-000962,5.269407241,7.199868617,OC314,Ovarian Cancer,Ovary
ACH-000473,5.167518504,7.589613698,RT112,Bladder Cancer,Urinary Tract
ACH-000192,5.748461233,6.852997588,MFE280,Endometrial/Uterine Cancer,Uterus
ACH-001624,3.849999259,6.281141834,ONDA9,Brain Cancer,Central Nervous System
ACH-001807,3.498250868,6.272956308,LPS067,Liposarcoma,Soft Tissue
ACH-002466,4.46662712,8.011395001,RPE1SS111,Engineered,Engineered
ACH-001344,2.799087306,5.963936452,GIMEN,Neuroblastoma,Peripheral Nervous System
ACH-000757,5.475733431,7.449973986,A427,Lung Cancer,Lung
ACH-000054,5.641256999,8.202662591,HT1080,Sarcoma,Soft Tissue
ACH-001318,5.608809243,6.923386916,PLCPRF5,Liver Cancer,Liver
ACH-000601,5.388878339,6.733761058,MIAPACA2,Pancreatic Cancer,Pancreas
ACH-000635,6.021479727,5.968090752,SNU119,Ovarian Cancer,Ovary
ACH-001857,3.826802684,6.324450605,SG231,Bile Duct Cancer,Bile Duct
ACH-000966,5.157447996,7.374343989,IGROV1,Ovarian Cancer,Ovary
ACH-000630,4.432291338,7.457298789,YD8,Head and Neck Cancer,Upper Aerodigestive
ACH-000225,5.085339669,7.076494963,ECC12,Gastric Cancer,Gastric
ACH-000657,5.752748591,7.449478838,A2780,Ovarian Cancer,Ovary
ACH-000624,4.936402378,7.042534906,HCC1806,Breast Cancer,Breast
ACH-000699,4.375039431,8.407012774,HCC1395,Breast Cancer,Breast
ACH-000923,5.810443104,7.66853047,BCP1,Lymphoma,Lymphocyte
ACH-000687,6.211790976,8.136017028,CI1,Lymphoma,Lymphocyte
ACH-000044,4.716442237,8.112700133,MDAMB134VI,Breast Cancer,Breast
ACH-000740,5.488322191,7.663558104,A253,Head and Neck Cancer,Upper Aerodigestive
ACH-000447,4.83541884,7.454258161,NCIH2228,Lung Cancer,Lung
ACH-001416,5.284292026,6.987093437,UMUC9,Bladder Cancer,Urinary Tract
ACH-000319,5.755688777,8.181152257,MPP89,Lung Cancer,Lung
ACH-000198,4.693208149,8.140062856,EOL1,Leukemia,Blood
ACH-000280,5.760220946,7.482525641,SNU840,Ovarian Cancer,Ovary
ACH-000104,6.926829678,8.292137545,LOUCY,Leukemia,Blood
ACH-001835,3.35473424,6.604071324,ICC106,Bile Duct Cancer,Bile Duct
ACH-000892,4.571069998,7.212569339,NCIH1563,Lung Cancer,Lung
ACH-000493,5.576219781,8.230981112,SNU423,Liver Cancer,Liver
ACH-000042,5.490890979,6.021479727,PANC0203,Pancreatic Cancer,Pancreas
ACH-002045,5.756756451,7.515542158,HO1U1,Head and Neck Cancer,Upper Aerodigestive
ACH-000221,5.497293009,8.376863374,SNU398,Liver Cancer,Liver
ACH-000093,5.253611152,7.515699838,PANC0504,Pancreatic Cancer,Pancreas
ACH-000477,5.309976492,6.489286023,MALME3M,Skin Cancer,Skin
ACH-000746,4.934044647,7.713008392,GSS,Gastric Cancer,Gastric
ACH-000356,5.704318678,7.680957226,MKN45,Gastric Cancer,Gastric
ACH-000457,3.733354341,6.348374075,CAL54,Kidney Cancer,Kidney
ACH-000904,5.201633861,7.6807463,NCIH2106,Lung Cancer,Lung
ACH-000244,4.405311683,6.354557947,DKMG,Brain Cancer,Central Nervous System
ACH-000610,5.395405605,7.401988775,NCIH2227,Lung Cancer,Lung
ACH-000081,6.033423002,7.383963436,GDM1,Leukemia,Blood
ACH-000255,5.994127114,8.683906949,LMSU,Gastric Cancer,Gastric
ACH-001038,5.711770204,7.114158769,COGE352,Bone Cancer,Bone
ACH-000352,5.355086762,7.667395439,HCC1428,Breast Cancer,Breast
ACH-002016,5.288358562,6.938991439,MEL290,Eye Cancer,Eye
ACH-000416,6.029673735,7.391887985,NCIH838,Lung Cancer,Lung
ACH-000752,6.12722055,8.139602511,NCIH196,Lung Cancer,Lung
ACH-000862,4.652486495,6.500005292,KMBC2,Bladder Cancer,Urinary Tract
ACH-000236,5.924099886,7.765004246,SW1417,Colon/Colorectal Cancer,Colorectal
ACH-000401,5.615887074,6.932510053,COLO800,Skin Cancer,Skin
ACH-000731,4.894332742,7.157751137,HCC2279,Lung Cancer,Lung
ACH-000875,5.712320641,7.776235615,NCIH2347,Lung Cancer,Lung
ACH-000626,6.720688885,7.422737587,U266B1,Myeloma,Plasma Cell
ACH-000593,5.035183997,7.709979832,BC3C,Bladder Cancer,Urinary Tract
ACH-000182,5.068670811,6.939226578,SNU869,Bile Duct Cancer,Bile Duct
ACH-000442,5.178316272,8.142158125,RERFLCSQ1,Lung Cancer,Lung
ACH-000159,5.071247819,7.311884519,OSRC2,Kidney Cancer,Kidney
ACH-000907,4.766065051,7.02469644,SNU349,Kidney Cancer,Kidney
ACH-000191,3.642701572,7.126601235,BHT101,Thyroid Cancer,Thyroid
ACH-000205,5.061776198,5.986183363,PK59,Pancreatic Cancer,Pancreas
ACH-000103,4.743084056,5.714245518,CAOV4,Ovarian Cancer,Ovary
ACH-000739,4.61999983,7.042972583,HEPG2,Liver Cancer,Liver
ACH-001558,4.973611276,7.233811384,MERO48A,Lung Cancer,Lung
ACH-000206,5.388189537,7.750673493,C8166,Lymphoma,Lymphocyte
ACH-000841,5.953032377,8.683731539,NCIH2087,Lung Cancer,Lung
ACH-000615,5.192194165,7.008204497,SKMEL28,Skin Cancer,Skin
ACH-001613,4.846493316,6.879215637,OCIAML4,Leukemia,Blood
ACH-001608,5.814294058,7.13422094,NP2,Brain Cancer,Central Nervous System
ACH-000801,5.470536865,7.792009369,HS936T,Skin Cancer,Skin
ACH-000539,4.903520374,7.46376957,HS618T,Fibroblast,Fibroblast
ACH-000464,4.708739041,6.524502537,CAS1,Brain Cancer,Central Nervous System
ACH-000622,6.173727099,7.239264368,KNS42,Brain Cancer,Central Nervous System
ACH-000452,4.932155684,6.853746197,TE8,Esophageal Cancer,Esophagus
ACH-001390,3.758089934,5.710393192,SUM149PT,Breast Cancer,Breast
ACH-001401,5.621172753,7.166313748,SW13,Adrenal Cancer,Adrenal Cortex
