Species,mass_gm,Cell_type,volume_fl,Source
Equus caballus,513000.00,lung interstitial cells,467.00,"[Stone, 1992]"
Suncus etruscus,2.70,lung type I cells,1075.00,"[Stone, 1992]"
Mus musculus,19.20,lung type I cells,1278.00,"[Stone, 1992]"
Mesocricetus auratus,106.00,lung type I cells,1691.00,"[Stone, 1992]"
Rattus norvegius (Fisher 344),290.00,lung type I cells,1530.00,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),363.00,lung type I cells,2042.00,"[Stone, 1992]"
Cavia porcellus,335.00,lung type I cells,1004.00,"[Stone, 1992]"
Oryctolagus cuniculus,2720.00,lung type I cells,2102.00,"[Stone, 1992]"
Canis familiaris,16000.00,lung type I cells,1196.00,"[Stone, 1992]"
Homo sapien,68500.00,lung type I cells,2391.00,"[Stone, 1992]"
Equus caballus,513000.00,lung type I cells,2230.00,"[Stone, 1992]"
Suncus etruscus,2.70,lung type II cells,719.00,"[Stone, 1992]"
Mus musculus,19.20,lung type II cells,360.00,"[Stone, 1992]"
Mesocricetus auratus,106.00,lung type II cells,367.00,"[Stone, 1992]"
Rattus norvegius (Fisher 344),290.00,lung type II cells,455.00,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),363.00,lung type II cells,443.00,"[Stone, 1992]"
Cavia porcellus,335.00,lung type II cells,442.00,"[Stone, 1992]"
Oryctolagus cuniculus,2720.00,lung type II cells,387.00,"[Stone, 1992]"
Canis familiaris,16000.00,lung type II cells,428.00,"[Stone, 1992]"
Homo sapien,68500.00,lung type II cells,815.00,"[Stone, 1992]"
Equus caballus,513000.00,lung type II cells,396.00,"[Stone, 1992]"
Mus musculus,40.00,proximal convoluted tubules,1121.26,"[Morgado, 1990]"
Mesocricetus auratus,135.00,proximal convoluted tubules,1785.71,"[Morgado, 1990]"
Mesocricetus auratus,168.00,proximal convoluted tubules,1818.11,"[Morgado, 1990]"
Rattus norvegicus,189.00,proximal convoluted tubules,1915.42,"[Morgado, 1990]"
Rattus norvegicus,200.00,proximal convoluted tubules,1560.01,"[Morgado, 1990]"
Felis catus,2700.00,proximal convoluted tubules,2090.60,"[Morgado, 1990]"
Canis familiaris,5300.00,proximal convoluted tubules,1644.10,"[Morgado, 1990]"
Ovis aries,12000.00,proximal convoluted tubules,1890.87,"[Morgado, 1990]"
Sus scrofa,120000.00,proximal convoluted tubules,1878.04,"[Morgado, 1990]"
Equus caballus,270000.00,proximal convoluted tubules,2108.67,"[Morgado, 1990]"
Bos taurus,450000.00,proximal convoluted tubules,1971.79,"[Morgado, 1990]"
Mus musculus,40.00,sebaceous gland cells (skin),2500.07,"[Morgado, 1990]"
Mesocricetus auratus,135.00,sebaceous gland cells (skin),1316.93,"[Morgado, 1990]"
Mesocricetus auratus,168.00,sebaceous gland cells (skin),1918.20,"[Morgado, 1990]"
Rattus norvegicus,189.00,sebaceous gland cells (skin),1758.61,"[Morgado, 1990]"
Rattus norvegicus,200.00,sebaceous gland cells (skin),1753.01,"[Morgado, 1990]"
Felis catus,2700.00,sebaceous gland cells (skin),1809.98,"[Morgado, 1990]"
Canis familiaris,5300.00,sebaceous gland cells (skin),1718.32,"[Morgado, 1990]"
Ovis aries,12000.00,sebaceous gland cells (skin),4196.31,"[Morgado, 1990]"
Sus scrofa,120000.00,sebaceous gland cells (skin),2403.60,"[Morgado, 1990]"
Equus caballus,270000.00,sebaceous gland cells (skin),2773.26,"[Morgado, 1990]"
Bos taurus,450000.00,sebaceous gland cells (skin),2870.63,"[Morgado, 1990]"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
